value,area,urban,gender
35566,Российская Федерация,Городское и сельское население,Оба пола
17533,Российская Федерация,Городское и сельское население,Мужчины
18033,Российская Федерация,Городское и сельское население,Женщины
23278,Российская Федерация,Городское население,Оба пола
11301,Российская Федерация,Городское население,Мужчины
11977,Российская Федерация,Городское население,Женщины
12288,Российская Федерация,Сельское население,Оба пола
6232,Российская Федерация,Сельское население,Мужчины
6056,Российская Федерация,Сельское население,Женщины
8699,Центральный федеральный округ,Городское и сельское население,Оба пола
4180,Центральный федеральный округ,Городское и сельское население,Мужчины
4519,Центральный федеральный округ,Городское и сельское население,Женщины
6110,Центральный федеральный округ,Городское население,Оба пола
2921,Центральный федеральный округ,Городское население,Мужчины
3189,Центральный федеральный округ,Городское население,Женщины
2589,Центральный федеральный округ,Сельское население,Оба пола
1259,Центральный федеральный округ,Сельское население,Мужчины
1330,Центральный федеральный округ,Сельское население,Женщины
499,Белгородская область,Городское и сельское население,Оба пола
232,Белгородская область,Городское и сельское население,Мужчины
267,Белгородская область,Городское и сельское население,Женщины
305,Белгородская область,Городское население,Оба пола
135,Белгородская область,Городское население,Мужчины
170,Белгородская область,Городское население,Женщины
194,Белгородская область,Сельское население,Оба пола
97,Белгородская область,Сельское население,Мужчины
97,Белгородская область,Сельское население,Женщины
392,Брянская область,Городское и сельское население,Оба пола
194,Брянская область,Городское и сельское население,Мужчины
198,Брянская область,Городское и сельское население,Женщины
223,Брянская область,Городское население,Оба пола
112,Брянская область,Городское население,Мужчины
111,Брянская область,Городское население,Женщины
169,Брянская область,Сельское население,Оба пола
82,Брянская область,Сельское население,Мужчины
87,Брянская область,Сельское население,Женщины
414,Владимирская область,Городское и сельское население,Оба пола
183,Владимирская область,Городское и сельское население,Мужчины
231,Владимирская область,Городское и сельское население,Женщины
264,Владимирская область,Городское население,Оба пола
124,Владимирская область,Городское население,Мужчины
140,Владимирская область,Городское население,Женщины
150,Владимирская область,Сельское население,Оба пола
59,Владимирская область,Сельское население,Мужчины
91,Владимирская область,Сельское население,Женщины
512,Воронежская область,Городское и сельское население,Оба пола
245,Воронежская область,Городское и сельское население,Мужчины
267,Воронежская область,Городское и сельское население,Женщины
324,Воронежская область,Городское население,Оба пола
160,Воронежская область,Городское население,Мужчины
164,Воронежская область,Городское население,Женщины
188,Воронежская область,Сельское население,Оба пола
85,Воронежская область,Сельское население,Мужчины
103,Воронежская область,Сельское население,Женщины
306,Ивановская область,Городское и сельское население,Оба пола
131,Ивановская область,Городское и сельское население,Мужчины
175,Ивановская область,Городское и сельское население,Женщины
212,Ивановская область,Городское население,Оба пола
91,Ивановская область,Городское население,Мужчины
121,Ивановская область,Городское население,Женщины
94,Ивановская область,Сельское население,Оба пола
40,Ивановская область,Сельское население,Мужчины
54,Ивановская область,Сельское население,Женщины
352,Калужская область,Городское и сельское население,Оба пола
191,Калужская область,Городское и сельское население,Мужчины
161,Калужская область,Городское и сельское население,Женщины
219,Калужская область,Городское население,Оба пола
116,Калужская область,Городское население,Мужчины
103,Калужская область,Городское население,Женщины
133,Калужская область,Сельское население,Оба пола
75,Калужская область,Сельское население,Мужчины
58,Калужская область,Сельское население,Женщины
221,Костромская область,Городское и сельское население,Оба пола
106,Костромская область,Городское и сельское население,Мужчины
115,Костромская область,Городское и сельское население,Женщины
126,Костромская область,Городское население,Оба пола
58,Костромская область,Городское население,Мужчины
68,Костромская область,Городское население,Женщины
95,Костромская область,Сельское население,Оба пола
48,Костромская область,Сельское население,Мужчины
47,Костромская область,Сельское население,Женщины
441,Курская область,Городское и сельское население,Оба пола
202,Курская область,Городское и сельское население,Мужчины
239,Курская область,Городское и сельское население,Женщины
265,Курская область,Городское население,Оба пола
115,Курская область,Городское население,Мужчины
150,Курская область,Городское население,Женщины
176,Курская область,Сельское население,Оба пола
87,Курская область,Сельское население,Мужчины
89,Курская область,Сельское население,Женщины
323,Липецкая область,Городское и сельское население,Оба пола
160,Липецкая область,Городское и сельское население,Мужчины
163,Липецкая область,Городское и сельское население,Женщины
195,Липецкая область,Городское население,Оба пола
90,Липецкая область,Городское население,Мужчины
105,Липецкая область,Городское население,Женщины
128,Липецкая область,Сельское население,Оба пола
70,Липецкая область,Сельское население,Мужчины
58,Липецкая область,Сельское население,Женщины
1344,Московская область,Городское и сельское население,Оба пола
621,Московская область,Городское и сельское население,Мужчины
723,Московская область,Городское и сельское население,Женщины
1043,Московская область,Городское население,Оба пола
484,Московская область,Городское население,Мужчины
559,Московская область,Городское население,Женщины
301,Московская область,Сельское население,Оба пола
137,Московская область,Сельское население,Мужчины
164,Московская область,Сельское население,Женщины
323,Орловская область,Городское и сельское население,Оба пола
152,Орловская область,Городское и сельское население,Мужчины
171,Орловская область,Городское и сельское население,Женщины
144,Орловская область,Городское население,Оба пола
52,Орловская область,Городское население,Мужчины
92,Орловская область,Городское население,Женщины
179,Орловская область,Сельское население,Оба пола
100,Орловская область,Сельское население,Мужчины
79,Орловская область,Сельское население,Женщины
383,Рязанская область,Городское и сельское население,Оба пола
191,Рязанская область,Городское и сельское население,Мужчины
192,Рязанская область,Городское и сельское население,Женщины
233,Рязанская область,Городское население,Оба пола
111,Рязанская область,Городское население,Мужчины
122,Рязанская область,Городское население,Женщины
150,Рязанская область,Сельское население,Оба пола
80,Рязанская область,Сельское население,Мужчины
70,Рязанская область,Сельское население,Женщины
211,Смоленская область,Городское и сельское население,Оба пола
99,Смоленская область,Городское и сельское население,Мужчины
112,Смоленская область,Городское и сельское население,Женщины
138,Смоленская область,Городское население,Оба пола
75,Смоленская область,Городское население,Мужчины
63,Смоленская область,Городское население,Женщины
73,Смоленская область,Сельское население,Оба пола
24,Смоленская область,Сельское население,Мужчины
49,Смоленская область,Сельское население,Женщины
394,Тамбовская область,Городское и сельское население,Оба пола
178,Тамбовская область,Городское и сельское население,Мужчины
216,Тамбовская область,Городское и сельское население,Женщины
227,Тамбовская область,Городское население,Оба пола
97,Тамбовская область,Городское население,Мужчины
130,Тамбовская область,Городское население,Женщины
167,Тамбовская область,Сельское население,Оба пола
81,Тамбовская область,Сельское население,Мужчины
86,Тамбовская область,Сельское население,Женщины
394,Тверская область,Городское и сельское население,Оба пола
194,Тверская область,Городское и сельское население,Мужчины
200,Тверская область,Городское и сельское население,Женщины
